번호,언어,어절
1,원문,when
1,원문,you
1,원문,raise
1,원문,your
1,원문,viewpoint
1,원문,up
1,원문,like
1,원문,a
1,원문,flag,
1,원문,people
1,원문,know
1,원문,where
1,원문,to
1,원문,find
1,원문,you.
1,해석,당신이 당신의 견해를 깃발처럼 들 때 사람들은 어디서 당신을 찾아야 할지를 안다.
2,원문,another
2,원문,possibility
2,원문,is
2,원문,that
2,원문,neither
2,원문,argument
2,원문,is
2,원문,refuted.
2,해석,또 다른 가능성은 어떤 주장도 반박되지 않는 것이다.
3,원문,this
3,원문,is
3,원문,one
3,원문,of
3,원문,the
3,원문,most
3,원문,important
3,원문,neuroscience
3,원문,discoveries
3,원문,of
3,원문,the
3,원문,last
3,원문,thirty
3,원문,years.
3,해석,이것은 지난 30년 중에서 가장 중요한 신경과학 발견들 중의 하나이다.
4,원문,people
4,원문,have
4,원문,perceptual
4,원문,characteristics
4,원문,that
4,원문,virtually
4,원문,assure
4,원문,that
4,원문,infants
4,원문,will
4,원문,orient
4,원문,toward
4,원문,them.
4,해석,사람들은 유아들이 그들에게 향하는 것을 실제로 확실하게 하는 지각과 관련된 특성을 가지고 있다.
5,원문,it
5,원문,is
5,원문,not
5,원문,the
5,원문,peasant's
5,원문,goal
5,원문,to
5,원문,produce
5,원문,the
5,원문,highest
5,원문,possible
5,원문,time-averaged
5,원문,crop
5,원문,yield.
5,해석,최고로 가능한 시간 평균적인 농작물 생산량을 만드는 것은 농부의 목표가 아니다.
6,원문,by
6,원문,specializing
6,원문,in
6,원문,just
6,원문,one
6,원문,activity,
6,원문,each
6,원문,worker
6,원문,gains
6,원문,mastery
6,원문,over
6,원문,the
6,원문,particular
6,원문,activity.
6,해석,단지 하나의 활동에서만 전문화함으로써 각각의 노동자는 특정한 활동에 숙달하게 된다.
7,원문,receiving
7,원문,help
7,원문,with
7,원문,a
7,원문,self-relevant
7,원문,task
7,원문,can
7,원문,make
7,원문,you
7,원문,feel
7,원문,bad
7,원문,about
7,원문,yourself.
7,해석,자기연관적인 일로 도움을 받는 것은 당신이 당신 자신에 대해 나쁘게 느끼게 만들 수 있다.
8,원문,it
8,원문,would
8,원문,be
8,원문,more
8,원문,accurate
8,원문,to
8,원문,say
8,원문,that
8,원문,those
8,원문,who
8,원문,can
8,원문,do,
8,원문,can't
8,원문,teach
8,원문,the
8,원문,basics.
8,해석,할 수 있는 사람은 기본을 가르칠 수 없다고 말하는 것이 더 정확할 것이다.
9,원문,being
9,원문,a
9,원문,cheater
9,원문,evokes
9,원문,a
9,원문,sense
9,원문,of
9,원문,self,
9,원문,triggering
9,원문,the
9,원문,logic
9,원문,of
9,원문,appropriateness.
9,해석,속이는 사람이 되는 것은 자의식을 환기시키며 적절함에 대한 논리를 촉발한다.
10,원문,brains
10,원문,require
10,원문,the
10,원문,right
10,원문,kind
10,원문,of
10,원문,environment
10,원문,if
10,원문,they
10,원문,are
10,원문,to
10,원문,correctly
10,원문,develop.
10,해석,뇌가 바르게 발달하려면 그것은 적절한 종류의 환경을 필요로 한다.
11,원문,there
11,원문,is
11,원문,a
11,원문,debate
11,원문,about
11,원문,whether
11,원문,these
11,원문,people
11,원문,spread
11,원문,into
11,원문,other
11,원문,parts
11,원문,of
11,원문,the
11,원문,world
11,원문,or:
11,원문,people
11,원문,developed
11,원문,independently
11,원문,in
11,원문,various
11,원문,parts
11,원문,of
11,원문,the
11,원문,world.
11,해석,이 사람들이 세계의 다른 지역으로 퍼져나갔는지 사람들이 세계의 다른 지역에서 독립적으로 발생했는지에 대해서는 논쟁이 있다.
12,원문,he
12,원문,demonstrated
12,원문,unambiguously
12,원문,that
12,원문,fashion
12,원문,is
12,원문,a
12,원문,profoundly
12,원문,regular
12,원문,phenomenon
12,원문,which
12,원문,is
12,원문,not
12,원문,located
12,원문,at
12,원문,the
12,원문,level
12,원문,of
12,원문,annual
12,원문,variations
12,원문,but
12,원문,on
12,원문,the
12,원문,scale
12,원문,of
12,원문,history.
12,해석,그는 패션이 매년 일어나는 변화의 수준이 아니라 역사의 척도에 위치하는 매우 규칙적인 현상이라는 것을 분명하게 보여주었다.
13,원문,consistency
13,원문,and
13,원문,repeatability
13,원문,are
13,원문,more
13,원문,likely
13,원문,to
13,원문,suppress
13,원문,fresh
13,원문,thinking
13,원문,than
13,원문,to
13,원문,bring
13,원문,your
13,원문,company
13,원문,profit.
13,해석,일관성과 반복 가능성은 여러분의 회사에 이익을 가져오기보다 새로운 생각을 첫번 가능성이 더 높다.
14,원문,others
14,원문,see
14,원문,science
14,원문,as
14,원문,a
14,원문,purely
14,원문,objective
14,원문,pursuit,
14,원문,uninfluenced
14,원문,by
14,원문,the
14,원문,cultural
14,원문,viewpoint
14,원문,and
14,원문,values
14,원문,of
14,원문,those
14,원문,who
14,원문,create
14,원문,it.
14,해석,다른 사람들은 과학을 그것을 만들어 내는 사람들의 문화적 관점과 가치에 의해 영향을 받지 않는 순전히 객관적인 일로 본다.
15,원문,managing
15,원문,our
15,원문,own
15,원문,emotions
15,원문,and
15,원문,actions
15,원문,is
15,원문,what
15,원문,allows
15,원문,us
15,원문,to
15,원문,feel
15,원문,peaceful
15,원문,as
15,원문,parents.
15,해석,우리의 감정과 행동을 관리하는 것이 우리가 부모로서 평안함을 느끼도록 해주는 것이다.
16,원문,what
16,원문,would
16,원문,happen
16,원문,if
16,원문,a
16,원문,new
16,원문,pathogen
16,원문,came
16,원문,along
16,원문,that
16,원문,infected
16,원문,most
16,원문,of
16,원문,the
16,원문,beeches
16,원문,and
16,원문,killed
16,원문,them?
16,해석,만약 대부분의 너도밤나무를 감염시켜 죽게 만드는 새로운 병원이 나타난다면 어떻게 될까?
17,원문,the
17,원문,outsourcing
17,원문,of
17,원문,much
17,원문,of
17,원문,the
17,원문,work
17,원문,of
17,원문,cooking
17,원문,to
17,원문,corporations
17,원문,has
17,원문,relieved
17,원문,women
17,원문,of
17,원문,what
17,원문,has
17,원문,traditionally
17,원문,been
17,원문,their
17,원문,exclusive
17,원문,responsibility
17,원문,for
17,원문,feeding
17,원문,the
17,원문,family.
17,해석,요리하는 일의 많은 부분을 기업에 아웃소싱하는 것은 전통적으로 여성들에게 한정된 가족을 먹여야 하는 책임이었던 것에서 여성들을 벗어나게 했다.
18,원문,as
18,원문,a
18,원문,consumer,
18,원문,you
18,원문,have
18,원문,the
18,원문,power
18,원문,to
18,원문,vote
18,원문,with
18,원문,your
18,원문,wallet
18,원문,and
18,원문,encourage
18,원문,companies
18,원문,to
18,원문,embrace
18,원문,healthier
18,원문,and
18,원문,more
18,원문,sustainable
18,원문,practices
18,원문,with
18,원문,every
18,원문,purchase
18,원문,you
18,원문,choose
18,원문,to
18,원문,make.
18,해석,소비자로서 여러분은 지갑으로 투표할 힘을 가지고 있고 여러분이 선택한 모든 구매를 통해 회사들이 더 건강하고 더 지속 가능한 관행을 받아들이도록 장려할 힘이 있다.
19,원문,remember
19,원문,those
19,원문,items
19,원문,have
19,원문,already
19,원문,travelled
19,원문,hundreds
19,원문,of
19,원문,miles
19,원문,to
19,원문,reach
19,원문,the
19,원문,shelves
19,원문,and
19,원문,once
19,원문,they
19,원문,go
19,원문,into
19,원문,waste
19,원문,they
19,원문,start
19,원문,a
19,원문,new
19,원문,carbon
19,원문,mile
19,원문,journey.
19,해석,그런한 품목들이 선반에 도달하기 위해 이미 수백 마일을 이동했고 일단 그것들이 버려지게 되면 그것들은 새로운 탄소 마일 여정을 시작한다는 것을 기억하라.
20,원문,the
20,원문,older
20,원문,we
20,원문,are,
20,원문,the
20,원문,longer
20,원문,it
20,원문,takes
20,원문,our
20,원문,brain
20,원문,and
20,원문,body
20,원문,to
20,원문,remove
20,원문,caffeine.
20,해석,우리가 나이가 들수록 우리의 뇌와 신체가 카페인을 제거하는 것이 더 오래 걸린다.



